dataset,file_type,schema,path
random_2026-03,tegrastats_power.csv,sample_index|elapsed_s|power_W,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp16_slow_BS32_tegrastats_power.csv
random_2026-03,bench_meta.json,batch|cuda_device|device_type|git_commit|git_status|imgsz|iters|measure_accuracy|metrics|model|precision|pretrained|seed|timestamp|torch_version|torchvision_version|warmup :: metrics=duration_s|iterations|latency_avg_ms|latency_p50_ms|throughput_img_s|top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp16_slow_BS64_bench_meta.json
random_2026-03,perf.csv,iter|batch|latency_ms|img_per_s|acc_top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp16_slow_BS64_perf.csv
random_2026-03,tegrastats_power.csv,sample_index|elapsed_s|power_W,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp16_slow_BS64_tegrastats_power.csv
random_2026-03,bench_meta.json,batch|cuda_device|device_type|git_commit|git_status|imgsz|iters|measure_accuracy|metrics|model|precision|pretrained|seed|timestamp|torch_version|torchvision_version|warmup :: metrics=duration_s|iterations|latency_avg_ms|latency_p50_ms|throughput_img_s|top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS128_bench_meta.json
random_2026-03,perf.csv,iter|batch|latency_ms|img_per_s|acc_top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS128_perf.csv
random_2026-03,tegrastats_power.csv,sample_index|elapsed_s|power_W,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS128_tegrastats_power.csv
random_2026-03,bench_meta.json,batch|cuda_device|device_type|git_commit|git_status|imgsz|iters|measure_accuracy|metrics|model|precision|pretrained|seed|timestamp|torch_version|torchvision_version|warmup :: metrics=duration_s|iterations|latency_avg_ms|latency_p50_ms|throughput_img_s|top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS32_bench_meta.json
random_2026-03,perf.csv,iter|batch|latency_ms|img_per_s|acc_top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS32_perf.csv
random_2026-03,tegrastats_power.csv,sample_index|elapsed_s|power_W,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS32_tegrastats_power.csv
random_2026-03,bench_meta.json,batch|cuda_device|device_type|git_commit|git_status|imgsz|iters|measure_accuracy|metrics|model|precision|pretrained|seed|timestamp|torch_version|torchvision_version|warmup :: metrics=duration_s|iterations|latency_avg_ms|latency_p50_ms|throughput_img_s|top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS64_bench_meta.json
random_2026-03,perf.csv,iter|batch|latency_ms|img_per_s|acc_top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS64_perf.csv
random_2026-03,tegrastats_power.csv,sample_index|elapsed_s|power_W,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_fast_BS64_tegrastats_power.csv
random_2026-03,bench_meta.json,batch|cuda_device|device_type|git_commit|git_status|imgsz|iters|measure_accuracy|metrics|model|precision|pretrained|seed|timestamp|torch_version|torchvision_version|warmup :: metrics=duration_s|iterations|latency_avg_ms|latency_p50_ms|throughput_img_s|top1,Ergebnisse_23.03.2026 (zufällige Reihenfolge)/mobilenet_v2_fp32_medium_BS128_bench_meta.json
